Id,Timestamp,Value,Device_id,Node_id
N-NDCW1-CR1-I-PV-L11ST1IZ1,2022-05-28T15:26:38.108Z,18.7125,,ns=3;s=IMS->ABB.AfwOpcDaSurrogate.1->L11ST1IZ1:VALUE
N-NDCW1-CR1-I-PV-L11ST1IZ1,2022-05-28T15:26:33.107Z,19.2,,ns=3;s=IMS->ABB.AfwOpcDaSurrogate.1->L11ST1IZ1:VALUE
N-NDCW1-CR1-I-PV-L11ST1IZ1,2022-05-28T15:26:32.075Z,18.5875,,ns=3;s=IMS->ABB.AfwOpcDaSurrogate.1->L11ST1IZ1:VALUE
N-NDCW1-CR1-I-PV-L11ST1IZ1,2022-05-28T15:26:29.262Z,19.0375,,ns=3;s=IMS->ABB.AfwOpcDaSurrogate.1->L11ST1IZ1:VALUE
N-NDCW1-CR1-I-PV-L11ST1IZ1,2022-05-28T15:26:26.093Z,18.575,,ns=3;s=IMS->ABB.AfwOpcDaSurrogate.1->L11ST1IZ1:VALUE
N-NDCW1-CR1-I-PV-L11ST1IZ1,2022-05-28T15:26:20.032Z,19.112501,,ns=3;s=IMS->ABB.AfwOpcDaSurrogate.1->L11ST1IZ1:VALUE
N-NDCW1-CR1-I-PV-L11ST1IZ1,2022-05-28T15:26:15.138Z,18.625,,ns=3;s=IMS->ABB.AfwOpcDaSurrogate.1->L11ST1IZ1:VALUE
N-NDCW1-CR1-I-PV-L11ST1IZ1,2022-05-28T15:26:06.045Z,19.112501,,ns=3;s=IMS->ABB.AfwOpcDaSurrogate.1->L11ST1IZ1:VALUE
N-NDCW1-CR1-I-PV-L11ST1IZ1,2022-05-28T15:26:02.109Z,18.525,,ns=3;s=IMS->ABB.AfwOpcDaSurrogate.1->L11ST1IZ1:VALUE
N-NDCW1-CR1-I-PV-L11ST1IZ1,2022-05-28T15:25:31.225Z,18.925001,,ns=3;s=IMS->ABB.AfwOpcDaSurrogate.1->L11ST1IZ1:VALUE
N-NDCW1-CR1-I-PV-L11ST1IZ1,2022-05-28T15:25:28.126Z,18.525,,ns=3;s=IMS->ABB.AfwOpcDaSurrogate.1->L11ST1IZ1:VALUE
N-NDCW1-CR1-I-PV-L11ST1IZ1,2022-05-28T15:25:24.976Z,19.025,,ns=3;s=IMS->ABB.AfwOpcDaSurrogate.1->L11ST1IZ1:VALUE
N-NDCW1-CR1-I-PV-L11ST1IZ1,2022-05-28T15:25:19.756Z,18.625,,ns=3;s=IMS->ABB.AfwOpcDaSurrogate.1->L11ST1IZ1:VALUE
N-NDCW1-CR1-I-PV-L11ST1IZ1,2022-05-28T15:25:14.568Z,19.275,,ns=3;s=IMS->ABB.AfwOpcDaSurrogate.1->L11ST1IZ1:VALUE
N-NDCW1-CR1-I-PV-L11ST1IZ1,2022-05-28T15:25:03.114Z,18.875,,ns=3;s=IMS->ABB.AfwOpcDaSurrogate.1->L11ST1IZ1:VALUE
N-NDCW1-CR1-I-PV-L11ST1IZ1,2022-05-28T15:24:59.925Z,19.3125,,ns=3;s=IMS->ABB.AfwOpcDaSurrogate.1->L11ST1IZ1:VALUE
N-NDCW1-CR1-I-PV-L11ST1IZ1,2022-05-28T15:24:49.541Z,18.8125,,ns=3;s=IMS->ABB.AfwOpcDaSurrogate.1->L11ST1IZ1:VALUE
N-NDCW1-CR1-I-PV-L11ST1IZ1,2022-05-28T15:24:42.469Z,19.25,,ns=3;s=IMS->ABB.AfwOpcDaSurrogate.1->L11ST1IZ1:VALUE
N-NDCW1-CR1-I-PV-L11ST1IZ1,2022-05-28T15:24:35.039Z,18.65,,ns=3;s=IMS->ABB.AfwOpcDaSurrogate.1->L11ST1IZ1:VALUE
N-NDCW1-CR1-I-PV-L11AC2IZ1,2022-05-28T15:26:40.181Z,11.910251,,ns=3;s=IMS->ABB.AfwOpcDaSurrogate.1->L11AC2IZ1:VALUE
N-NDCW1-CR1-I-PV-L11AC2IZ1,2022-05-28T15:26:39.134Z,11.4886875,,ns=3;s=IMS->ABB.AfwOpcDaSurrogate.1->L11AC2IZ1:VALUE
N-NDCW1-CR1-I-PV-L11AC2IZ1,2022-05-28T15:26:38.108Z,11.351126,,ns=3;s=IMS->ABB.AfwOpcDaSurrogate.1->L11AC2IZ1:VALUE
N-NDCW1-CR1-I-PV-L11AC2IZ1,2022-05-28T15:26:37.045Z,11.479813,,ns=3;s=IMS->ABB.AfwOpcDaSurrogate.1->L11AC2IZ1:VALUE
N-NDCW1-CR1-I-PV-L11AC2IZ1,2022-05-28T15:26:36.045Z,10.6145,,ns=3;s=IMS->ABB.AfwOpcDaSurrogate.1->L11AC2IZ1:VALUE
N-NDCW1-CR1-I-PV-L11AC2IZ1,2022-05-28T15:26:35.177Z,11.151438,,ns=3;s=IMS->ABB.AfwOpcDaSurrogate.1->L11AC2IZ1:VALUE
N-NDCW1-CR1-I-PV-L11AC2IZ1,2022-05-28T15:26:34.13Z,11.6085005,,ns=3;s=IMS->ABB.AfwOpcDaSurrogate.1->L11AC2IZ1:VALUE
N-NDCW1-CR1-I-PV-L11AC2IZ1,2022-05-28T15:26:33.107Z,11.084875,,ns=3;s=IMS->ABB.AfwOpcDaSurrogate.1->L11AC2IZ1:VALUE
N-NDCW1-CR1-I-PV-L11AC2IZ1,2022-05-28T15:26:31.059Z,11.37775,,ns=3;s=IMS->ABB.AfwOpcDaSurrogate.1->L11AC2IZ1:VALUE
N-NDCW1-CR1-I-PV-L11AC2IZ1,2022-05-28T15:26:30.044Z,10.734313,,ns=3;s=IMS->ABB.AfwOpcDaSurrogate.1->L11AC2IZ1:VALUE
N-NDCW1-CR1-I-PV-L11AC2IZ1,2022-05-28T15:26:29.262Z,11.151438,,ns=3;s=IMS->ABB.AfwOpcDaSurrogate.1->L11AC2IZ1:VALUE
N-NDCW1-CR1-I-PV-L11AC2IZ1,2022-05-28T15:26:27.158Z,11.178062,,ns=3;s=IMS->ABB.AfwOpcDaSurrogate.1->L11AC2IZ1:VALUE
N-NDCW1-CR1-I-PV-L11AC2IZ1,2022-05-28T15:26:26.093Z,11.2890005,,ns=3;s=IMS->ABB.AfwOpcDaSurrogate.1->L11AC2IZ1:VALUE
N-NDCW1-CR1-I-PV-L11AC2IZ1,2022-05-28T15:26:25.046Z,11.391063,,ns=3;s=IMS->ABB.AfwOpcDaSurrogate.1->L11AC2IZ1:VALUE
N-NDCW1-CR1-I-PV-L11AC2IZ1,2022-05-28T15:26:23.092Z,11.173625,,ns=3;s=IMS->ABB.AfwOpcDaSurrogate.1->L11AC2IZ1:VALUE
N-NDCW1-CR1-I-PV-L11AC2IZ1,2022-05-28T15:26:22.044Z,11.266812,,ns=3;s=IMS->ABB.AfwOpcDaSurrogate.1->L11AC2IZ1:VALUE
N-NDCW1-CR1-I-PV-L11AC2IZ1,2022-05-28T15:26:21.098Z,10.871875,,ns=3;s=IMS->ABB.AfwOpcDaSurrogate.1->L11AC2IZ1:VALUE
N-NDCW1-CR1-I-PV-L11AC2IZ1,2022-05-28T15:26:20.032Z,10.960626,,ns=3;s=IMS->ABB.AfwOpcDaSurrogate.1->L11AC2IZ1:VALUE
N-NDCW1-CR1-I-PV-L11AC2IZ1,2022-05-28T15:26:19.047Z,11.231313,,ns=3;s=IMS->ABB.AfwOpcDaSurrogate.1->L11AC2IZ1:VALUE
N-NDCW1-CR1-I-PV-L11AC2IZ1,2022-05-28T15:26:18.031Z,10.840813,,ns=3;s=IMS->ABB.AfwOpcDaSurrogate.1->L11AC2IZ1:VALUE
N-NDCW1-CR1-I-PV-L11AC2IZ1,2022-05-28T15:26:17.21Z,11.226875,,ns=3;s=IMS->ABB.AfwOpcDaSurrogate.1->L11AC2IZ1:VALUE
