Id,Timestamp,Value,Device_id,Node_id
N-NDCW1-RM1-P-PV-361RM1PZ2,2022-05-31T15:26:40.306Z,97,,ns=3;s=IMS->ABB.AfwOpcDaSurrogate.1->361RM1PZ2:VALUE
N-NDCW1-RM1-P-PV-361RM1PZ2,2022-05-31T15:26:39.149Z,107.6875,,ns=3;s=IMS->ABB.AfwOpcDaSurrogate.1->361RM1PZ2:VALUE
N-NDCW1-RM1-P-PV-361RM1PZ2,2022-05-31T15:26:36.858Z,102.4375,,ns=3;s=IMS->ABB.AfwOpcDaSurrogate.1->361RM1PZ2:VALUE
N-NDCW1-RM1-P-PV-361RM1PZ2,2022-05-31T15:26:35.708Z,103.8125,,ns=3;s=IMS->ABB.AfwOpcDaSurrogate.1->361RM1PZ2:VALUE
N-NDCW1-RM1-P-PV-361RM1PZ2,2022-05-31T15:26:34.57Z,87.4375,,ns=3;s=IMS->ABB.AfwOpcDaSurrogate.1->361RM1PZ2:VALUE
N-NDCW1-RM1-P-PV-361RM1PZ2,2022-05-31T15:26:33.404Z,97.25,,ns=3;s=IMS->ABB.AfwOpcDaSurrogate.1->361RM1PZ2:VALUE
N-NDCW1-RM1-P-PV-361RM1PZ2,2022-05-31T15:26:31.059Z,100.375,,ns=3;s=IMS->ABB.AfwOpcDaSurrogate.1->361RM1PZ2:VALUE
N-NDCW1-RM1-P-PV-361RM1PZ2,2022-05-31T15:26:29.544Z,89.5625,,ns=3;s=IMS->ABB.AfwOpcDaSurrogate.1->361RM1PZ2:VALUE
N-NDCW1-RM1-P-PV-361RM1PZ2,2022-05-31T15:26:27.58Z,91.3125,,ns=3;s=IMS->ABB.AfwOpcDaSurrogate.1->361RM1PZ2:VALUE
N-NDCW1-RM1-P-PV-361RM1PZ2,2022-05-31T15:26:26.439Z,102.0625,,ns=3;s=IMS->ABB.AfwOpcDaSurrogate.1->361RM1PZ2:VALUE
N-NDCW1-RM1-P-PV-361RM1PZ2,2022-05-31T15:26:25.186Z,100.9375,,ns=3;s=IMS->ABB.AfwOpcDaSurrogate.1->361RM1PZ2:VALUE
N-NDCW1-RM1-P-PV-361RM1PZ2,2022-05-31T15:26:23.076Z,96.6875,,ns=3;s=IMS->ABB.AfwOpcDaSurrogate.1->361RM1PZ2:VALUE
N-NDCW1-RM1-P-PV-361RM1PZ2,2022-05-31T15:26:21.935Z,94.625,,ns=3;s=IMS->ABB.AfwOpcDaSurrogate.1->361RM1PZ2:VALUE
N-NDCW1-RM1-P-PV-361RM1PZ2,2022-05-31T15:26:20.77Z,105.9375,,ns=3;s=IMS->ABB.AfwOpcDaSurrogate.1->361RM1PZ2:VALUE
